"Reporting Period","Project ID","Project County","Project City","Project ZIP","Gas Utility","Electric Utility","Project Completion Date","Total Project Cost","Pre-Retrofit Home Heating Fuel Type","Year Home Built","Size Of Home","Number Of Units","Job Type","Type Of Dwelling","Measure Type","Estimated Annual kWh Savings","Estimated Annual MMBtu Savings","First Year Modeled Project Energy Savings $ Estimate","Location 1"
"06/30/2023","563330","Kings","Brooklyn","11234",,"Consolidated Edison","04/13/2023","$6,902.00","Natural Gas",,"1134","1","Home Performance","Single Family","Building Shell","411.00","32.00","$585.00"," Brooklyn NY 11234 (40.61463, -73.923985)"
"06/30/2023","516298","Tompkins","Ithaca","14850","New York State Electric & Gas","New York State Electric & Gas","12/06/2022","$17,815.00","Natural Gas","1863","1904","1","Home Performance","Single Family","Building Shell","-207.00","32.00","$291.00"," Ithaca NY 14850 (42.444575, -76.5001)"
"06/30/2023","522804","Erie","Buffalo","14214","National Fuel Gas Distribution","National Grid","08/02/2022","$2,262.00","Natural Gas",,"2,754","1","Home Performance","Single Family","Building Shell","806.00","10.00","$191.00"," Buffalo NY 14214 (42.9366, -78.83923)"
"06/30/2023","495015","Monroe","Henrietta","14467","Rochester Gas & Electric","Rochester Gas & Electric","01/27/2022","$8,264.00","Natural Gas",,"2,041","1","Home Performance","Single Family","Building Shell","0.00","41.00","$358.00"," Henrietta NY 14467 (43.058193, -77.6179535)"
"06/30/2023","504863","Nassau","Valley Stream","11580",,"Long Island Power Authority","01/18/2022","$13,303.00","Natural Gas","1942","1,747","1","Home Performance","Single Family","Building Shell","0.00","80.00","$1,108.00"," Valley Stream NY 11580 (40.670895, -73.70947)"
"06/30/2023","569811","Madison","Morrisville","13408","New York State Electric & Gas","New York State Electric & Gas","05/18/2023","$18,682.00","Natural Gas",,"1193","1","Home Performance","Single Family","Building Shell","-372.00","69.00","$640.00"," Morrisville NY 13408 (42.8952223, -75.6415164)"
"06/30/2023","518205","Oswego","Parish","13131",,"National Grid","02/16/2022","$8,914.00","Propane",,"1,050","1","Home Performance","Mobile","Building Shell","1,060.00","31.00","$864.00"," Parish NY 13131 (43.405285, -76.121125)"
"06/30/2023","561936","Tompkins","Newfield","14867",,"New York State Electric & Gas","11/15/2022","$10,428.00","Propane",,"1248","1","Home Performance","Single Family","Building Shell","-3,644.00","55.00","$1,250.00"," Newfield NY 14867 (42.38683, -76.55499)"
"06/30/2023","525816","Queens","Queens","11436",,"Consolidated Edison","01/06/2022","$4,015.00","Natural Gas",,"Report SF less than 800","1","Home Performance","Single Family","Building Shell","510.00","19.00","$409.00"," Queens NY 11436 (40.67391, -73.796005)"
"06/30/2023","575308","Oneida","Ava","13303",,"Municipal","03/31/2023","$5,349.00","Oil",,"1234","1","Home Performance","Single Family","Building Shell","673.00","38.00","$1,462.00"," Ava NY 13303 (43.3012781, -75.4464436)"
"06/30/2023","542798","Otsego","Unadilla","13849",,"Municipal","09/20/2022","$8,869.00","Kerosene",,"Report SF less than 800","1","Home Performance","Single Family","Building Shell","764.00","34.00","$1,058.00"," Unadilla NY 13849 (42.3264797, -75.3161649)"
"06/30/2023","571931","Erie","West Seneca","14224","National Fuel Gas Distribution","New York State Electric & Gas","03/28/2023","$9,665.00","Natural Gas",,"1192","1","Home Performance","Single Family","Building Shell","513.00","55.00","$537.00"," West Seneca NY 14224 (42.835045, -78.753835)"
"06/30/2023","567035","Monroe","Rochester","14606","Rochester Gas & Electric","Rochester Gas & Electric","01/17/2023","$3,317.00","Natural Gas",,"867","1","Home Performance","Single Family","Building Shell","-831.00","26.00","$150.00"," Rochester NY 14606 (43.16463, -77.64152)"
"06/30/2023","485866","Tioga","Owego","13827","New York State Electric & Gas","New York State Electric & Gas","01/27/2022","$6,453.00","Natural Gas",,"1,862","1","Home Performance","Single Family","Building Shell","443.00","30.00","$786.00"," Owego NY 13827 (42.105545, -76.26612)"
"06/30/2023","528128","Broome","Binghamton","13905","New York State Electric & Gas","New York State Electric & Gas","09/13/2022","$6,773.00","Natural Gas",,"1,352","1","Home Performance","Single Family","Building Shell","0.00","37.00","$364.00"," Binghamton NY 13905 (42.10765, -75.937145)"
"06/30/2023","542035","Erie","Buffalo","14215","National Fuel Gas Distribution","National Grid","08/23/2022","$9,514.00","Natural Gas",,"1,190","1","Home Performance","Single Family","Building Shell","510.00","73.00","$693.00"," Buffalo NY 14215 (42.93241, -78.80886)"
"06/30/2023","564255","Broome","Binghamton","13903","New York State Electric & Gas","New York State Electric & Gas","04/20/2023","$16,787.00","Natural Gas",,"810","1","Home Performance","Single Family","Building Shell","324.00","36.00","$391.00"," Binghamton NY 13903 (42.08496, -75.911365)"
"06/30/2023","529562","Rockland","Spring Valley","10977","Orange & Rockland","Orange & Rockland","03/18/2022","$8,120.00","Natural Gas",,"2,208","1","Home Performance","Single Family","Building Shell","0.00","33.00","$393.00"," Spring Valley NY 10977 (41.1106286, -74.0448266)"
"06/30/2023","547332","Columbia","Hudson","12534",,"National Grid","05/02/2023","$14,651.00","Oil",,"1344","1","Home Performance","Single Family","Building Shell","1,410.00","18.00","$583.00"," Hudson NY 12534 (42.251635, -73.78808)"
"06/30/2023","527846","Kings","Brooklyn","11220",,"Consolidated Edison","04/21/2022","$4,297.00","Natural Gas",,"3,210","1","Home Performance","Single Family","Building Shell","301.00","34.00","$585.00"," Brooklyn NY 11220 (40.640195, -74.01736)"
"06/30/2023","536003","Monroe","Webster","14580","Rochester Gas & Electric","Rochester Gas & Electric","05/12/2022","$5,166.00","Natural Gas",,"1,144","1","Home Performance","Single Family","Building Shell","368.00","33.00","$323.00"," Webster NY 14580 (43.2141056, -77.4345478)"
"06/30/2023","549727","Onondaga","Syracuse","13203","National Grid","National Grid","07/26/2022","$10,319.00","Natural Gas",,"1,104","1","Home Performance","Single Family","Building Shell","270.00","64.00","$731.00"," Syracuse NY 13203 (43.056515, -76.14007)"
"06/30/2023","568312","Queens","Queens","11433",,"Consolidated Edison","01/25/2023","$14,809.00","Natural Gas",,"3174","1","Home Performance","Single Family","Building Shell","45.00","97.00","$1,504.00"," Queens NY 11433 (40.697715, -73.786045)"
"06/30/2023","579142","Oneida","Utica","13501","National Grid","National Grid","06/08/2023","$7,604.00","Natural Gas",,"1295","1","Home Performance","Single Family","Building Shell","1,197.00","36.00","$542.00"," Utica NY 13501 (43.09528, -75.22754)"
"06/30/2023","530774","Monroe","Rochester","14611","Rochester Gas & Electric","Rochester Gas & Electric","02/02/2023","$696.00","Natural Gas",,"1128","1","Home Performance","Single Family","Building Shell","488.00","3.00","$71.00"," Rochester NY 14611 (43.15242, -77.6379)"
"06/30/2023","491014","Wyoming","Portageville","14536","New York State Electric & Gas","New York State Electric & Gas","01/11/2022","$4,517.00","Natural Gas","1981","Report SF less than 800","1","Home Performance","Mobile","Building Shell","585.00","33.00","$400.00"," Portageville NY 14536 (42.567235, -78.04588)"
"06/30/2023","527061","Kings","Brooklyn","11219",,"Consolidated Edison","03/24/2022","$3,776.00","Natural Gas",,"2,927","1","Home Performance","Single Family","Building Shell","464.00","18.00","$373.00"," Brooklyn NY 11219 (40.632085, -73.99876)"
"06/30/2023","558282","Chautauqua","Cassadaga","14718","National Fuel Gas Distribution","National Grid","10/13/2022","$10,919.00","Natural Gas",,"3520","1","Home Performance","Single Family","Building Shell","0.00","63.00","$542.00"," Cassadaga NY 14718 (42.346835, -79.312485)"
"06/30/2023","565598","Steuben","Prattsburgh","14873","New York State Electric & Gas","New York State Electric & Gas","12/08/2022","$8,529.00","Natural Gas",,"980","1","Home Performance","Mobile","Building Shell","422.00","49.00","$533.00"," Prattsburgh NY 14873 (42.5262895, -77.2854541)"
"06/30/2023","570162","Montgomery","Fort Plain","13339",,"National Grid","06/06/2023","$1,047.00","Kerosene",,"2112","1","Home Performance","Single Family","Building Shell","748.00","2.00","$143.00"," Fort Plain NY 13339 (42.9297647, -74.6269854)"
"06/30/2023","548577","Saratoga","Ballston Spa","12020","National Grid","National Grid","06/23/2022","$7,819.00","Natural Gas",,"1,752","1","Home Performance","Mobile","Building Shell","248.00","29.00","$351.00"," Ballston Spa NY 12020 (43.006105, -73.851605)"
"06/30/2023","514909","Wayne","Lyons","14489",,"New York State Electric & Gas","06/16/2022","$20,302.00","Oil","1952","945","1","Home Performance","Single Family","Building Shell","-5,347.00","146.00","$2,173.00"," Lyons NY 14489 (43.064965, -76.99033)"
"06/30/2023","494332","Onondaga","Syracuse","13207","National Grid","National Grid","03/24/2022","$3,893.00","Natural Gas","1972","1,588","1","Home Performance","Single Family","Building Shell","0.00","14.00","$151.00"," Syracuse NY 13207 (43.0200289, -76.1626311)"
"06/30/2023","483458","Erie","Hamburg","14075","National Fuel Gas Distribution","New York State Electric & Gas","05/17/2022","$8,178.00","Natural Gas",,"1,180","1","Home Performance","Single Family","Building Shell","368.00","49.00","$469.00"," Hamburg NY 14075 (42.7214743, -78.8290294)"
"06/30/2023","570974","Niagara","Lockport","14094","New York State Electric & Gas","New York State Electric & Gas","05/02/2023","$1,053.00","Natural Gas",,"1568","1","Electric Reduction","Single Family","Building Shell","480.00","4.00","$116.00"," Lockport NY 14094 (43.16942, -78.69168)"
"06/30/2023","488984","Rockland","Spring Valley","10977","Orange & Rockland","Orange & Rockland","02/16/2022","$5,639.00","Natural Gas","1987","Report SF more than 4,000","1","Home Performance","Single Family","Building Shell","1,178.00","28.00","$535.00"," Spring Valley NY 10977 (41.1106286, -74.0448266)"
"06/30/2023","567226","Erie","Buffalo","14208","National Fuel Gas Distribution","National Grid","02/09/2023","$3,796.00","Natural Gas",,"1082","1","Home Performance","Single Family","Building Shell","46.00","44.00","$388.00"," Buffalo NY 14208 (42.9174001, -78.852226)"
"06/30/2023","574565","Orleans","Lyndonville","14098",,"National Grid","05/25/2023","$12,008.00","Propane",,"1512","1","Home Performance","Mobile","Building Shell","741.00","10.00","$436.00"," Lyndonville NY 14098 (43.32371, -78.38343)"
"06/30/2023","541565","Ontario","Geneva","14456",,"New York State Electric & Gas","06/30/2022","$7,696.00","Kerosene",,"1,291","1","Home Performance","Mobile","Building Shell","301.00","35.00","$796.00"," Geneva NY 14456 (42.87351, -76.983615)"
"06/30/2023","571976","Livingston","Piffard","14533",,"National Grid","04/04/2023","$11,346.00","Oil",,"2012","1","Home Performance","Single Family","Building Shell","183.00","61.00","$2,421.00"," Piffard NY 14533 (42.8262, -77.8970984)"
"06/30/2023","580646","Kings","Brooklyn","11203",,"Consolidated Edison","06/25/2023","$5,881.00","Natural Gas",,"1800","1","Home Performance","Single Family","Building Shell","825.00","39.00","$861.00"," Brooklyn NY 11203 (40.650265, -73.927795)"
"06/30/2023","566301","Monroe","Rochester","14611","Rochester Gas & Electric","Rochester Gas & Electric","12/20/2022","$11,837.00","Natural Gas",,"1292","1","Home Performance","Single Family","Water Heater","-764.00","39.00","$270.00"," Rochester NY 14611 (43.15242, -77.6379)"
"06/30/2023","561300","Onondaga","Baldwinsville","13027","National Grid","National Grid","05/10/2023","$11,229.00","Natural Gas",,"Report SF less than 800","1","Home Performance","Single Family","Building Shell","779.00","32.00","$443.00"," Baldwinsville NY 13027 (43.18518, -76.29835)"
"06/30/2023","545056","Washington","Cambridge","12816",,"National Grid","06/30/2022","$13,964.00","Oil",,"2,170","1","Home Performance","Single Family","Building Shell","81.00","105.00","$2,221.00"," Cambridge NY 12816 (43.02698, -73.376065)"
"06/30/2023","548618","Saratoga","Saratoga Springs","12866","National Grid","National Grid","04/13/2023","$11,437.00","Natural Gas",,"980","1","Home Performance","Mobile","Building Shell","429.00","43.00","$527.00"," Saratoga Springs NY 12866 (43.080115, -73.786645)"
"06/30/2023","570086","Broome","Binghamton","13905",,"New York State Electric & Gas","03/23/2023","$7,599.00","Oil",,"1560","1","Home Performance","Single Family","Building Shell","2,285.00","20.00","$699.00"," Binghamton NY 13905 (42.10765, -75.937145)"
"06/30/2023","454620","Oneida","Utica","13502","National Grid","National Grid","01/18/2022","$10,609.00","Natural Gas",,"1,320","1","Home Performance","Single Family","Building Shell","301.00","90.00","$1,024.00"," Utica NY 13502 (43.1010822, -75.2472726)"
"06/30/2023","559715","Queens","Queens","11436",,"Consolidated Edison","01/10/2023","$9,292.00","Natural Gas",,"966","1","Home Performance","Single Family","Building Shell","282.00","56.00","$668.00"," Queens NY 11436 (40.67391, -73.796005)"
"06/30/2023","516011","Chenango","Bainbridge","13733",,"New York State Electric & Gas","06/14/2022","$6,527.00","Propane",,"836","1","Home Performance","Mobile","Building Shell","0.00","19.00","$525.00"," Bainbridge NY 13733 (42.29541, -75.481205)"
"06/30/2023","556369","Niagara","Lockport","14094",,"New York State Electric & Gas","06/22/2023","$14,638.00","Propane",,"1588","1","Home Performance","Single Family","Heating and Cooling","54.00","70.00","$2,106.00"," Lockport NY 14094 (43.16942, -78.69168)"
"06/30/2023","533111","Wayne","Clyde","14433","New York State Electric & Gas","New York State Electric & Gas","01/20/2022","$6,410.00","Natural Gas",,"1,215","1","Home Performance","Single Family","Building Shell","510.00","22.00","$274.00"," Clyde NY 14433 (43.084355, -76.87006)"
"06/30/2023","561517","Herkimer","Salisbury Center","13454",,"National Grid","01/17/2023","$7,982.00","Oil",,"1458","1","Home Performance","Single Family","Building Shell","6,970.00","14.00","$1,179.00"," Salisbury Center NY 13454 (43.143865, -74.78159)"
"06/30/2023","568616","Chemung","Elmira","14905","New York State Electric & Gas","New York State Electric & Gas","05/11/2023","$16,199.00","Natural Gas",,"1109","1","Home Performance","Single Family","Heating and Cooling","956.00","73.00","$835.00"," Elmira NY 14905 (42.083155, -76.8393)"
"06/30/2023","515570","Schuyler","Watkins Glen","14891",,"Municipal","03/18/2022","$5,845.00","Oil",,"1,110","1","Home Performance","Single Family","Building Shell","0.00","20.00","$463.00"," Watkins Glen NY 14891 (42.378765, -76.87248)"
"06/30/2023","564069","Herkimer","Little Falls","13365",,"National Grid","04/11/2023","$10,024.00","Propane",,"1080","1","Home Performance","Single Family","Building Shell","3,081.00","11.00","$700.00"," Little Falls NY 13365 (43.0444, -74.860045)"
"06/30/2023","563042","Oneida","Utica","13501","National Grid","National Grid","01/25/2023","$15,236.00","Natural Gas",,"1498","1","Home Performance","Single Family","Building Shell","203.00","47.00","$533.00"," Utica NY 13501 (43.09528, -75.22754)"
"06/30/2023","558458","Erie","Buffalo","14220","National Fuel Gas Distribution","National Grid","02/14/2023","$9,564.00","Natural Gas",,"2090","1","Home Performance","Single Family","Building Shell","-439.00","60.00","$459.00"," Buffalo NY 14220 (42.852935, -78.826155)"
"06/30/2023","561654","Onondaga","Syracuse","13205","National Grid","National Grid","12/06/2022","$5,964.00","Natural Gas",,"1152","1","Home Performance","Single Family","Building Shell","333.00","12.00","$169.00"," Syracuse NY 13205 (43.0257179, -76.1480025)"
"06/30/2023","527669","Monroe","Rochester","14619","Rochester Gas & Electric","Rochester Gas & Electric","04/12/2022","$5,211.00","Natural Gas",,"1,820","1","Home Performance","Single Family","Building Shell","0.00","34.00","$296.00"," Rochester NY 14619 (43.13596, -77.64898)"
"06/30/2023","561650","Erie","Buffalo","14207","National Fuel Gas Distribution","National Grid","12/13/2022","$4,367.00","Natural Gas",,"1072","1","Home Performance","Single Family","Building Shell","0.00","15.00","$129.00"," Buffalo NY 14207 (42.945525, -78.887125)"
"06/30/2023","561291","Onondaga","Syracuse","13205","National Grid","National Grid","12/13/2022","$6,194.00","Natural Gas",,"1872","1","Home Performance","Single Family","Building Shell","-933.00","45.00","$369.00"," Syracuse NY 13205 (43.0257179, -76.1480025)"
"06/30/2023","524456","Cayuga","Auburn","13021","New York State Electric & Gas","New York State Electric & Gas","01/04/2022","$3,224.00","Natural Gas",,"1,658","1","Home Performance","Single Family","Building Shell","510.00","5.00","$113.00"," Auburn NY 13021 (42.9355, -76.56687)"
"06/30/2023","571912","Cortland","Cortland","13045","New York State Electric & Gas","National Grid","03/14/2023","$14,590.00","Natural Gas",,"3326","1","Home Performance","Single Family","Building Shell","130.00","64.00","$652.00"," Cortland NY 13045 (42.600225, -76.18184)"
"06/30/2023","548332","Otsego","Hartwick","13348",,"New York State Electric & Gas","07/28/2022","$15,895.00","Propane",,"1,800","1","Home Performance","Single Family","Building Shell","339.00","106.00","$3,031.00"," Hartwick NY 13348 (42.6604944, -75.0502082)"
"06/30/2023","520246","Monroe","Rochester","14609","Rochester Gas & Electric","Rochester Gas & Electric","01/11/2022","$3,838.00","Natural Gas",,"1,626","1","Home Performance","Single Family","Building Shell","410.00","13.00","$155.00"," Rochester NY 14609 (43.165865, -77.56504)"
"06/30/2023","532619","Monroe","Rochester","14620","Rochester Gas & Electric","Rochester Gas & Electric","03/22/2023","$5,117.00","Natural Gas",,"1494","1","Home Performance","Single Family","Building Shell","122.00","9.00","$87.00"," Rochester NY 14620 (43.119885, -77.61982)"
"06/30/2023","535585","Monroe","Rochester","14619","Rochester Gas & Electric","Rochester Gas & Electric","06/30/2022","$6,291.00","Natural Gas",,"827","1","Home Performance","Single Family","Heating and Cooling","368.00","22.00","$230.00"," Rochester NY 14619 (43.13596, -77.64898)"
"06/30/2023","537461","Madison","Madison","13402",,"New York State Electric & Gas","05/17/2022","$3,460.00","Oil",,"2,140","1","Home Performance","Single Family","Building Shell","158.00","15.00","$335.00"," Madison NY 13402 (42.8996135, -75.5168926)"
"06/30/2023","525110","Queens","Queens","11413",,"Consolidated Edison","01/25/2022","$11,612.00","Natural Gas",,"3,550","1","Home Performance","Single Family","Building Shell","679.00","77.00","$1,332.00"," Queens NY 11413 (40.675365, -73.75155)"
"06/30/2023","549117","Onondaga","Manlius","13104","National Grid","National Grid","10/27/2022","$2,997.00","Natural Gas",,"1826","1","Home Performance","Single Family","Building Shell","1,155.00","18.00","$340.00"," Manlius NY 13104 (43.003055, -75.98119)"
"06/30/2023","548583","Oswego","Fulton","13069",,"National Grid","04/25/2023","$9,849.00","Propane",,"980","1","Home Performance","Mobile","Building Shell","747.00","18.00","$608.00"," Fulton NY 13069 (43.325035, -76.41174)"
"06/30/2023","551130","Erie","Tonawanda","14150","National Fuel Gas Distribution","National Grid","08/25/2022","$7,223.00","Natural Gas",,"1,017","1","Home Performance","Single Family","Building Shell","668.00","27.00","$316.00"," Tonawanda NY 14150 (43.013815, -78.8776)"
"06/30/2023","553979","Steuben","Wayland","14572",,"New York State Electric & Gas","01/25/2023","$9,928.00","Oil",,"1152","1","Home Performance","Single Family","Building Shell","436.00","37.00","$447.00"," Wayland NY 14572 (42.566045, -77.593625)"
"06/30/2023","565003","Erie","Buffalo","14208","National Fuel Gas Distribution","National Grid","05/04/2023","$10,047.00","Natural Gas",,"1260","1","Home Performance","Single Family","Building Shell","1,509.00","52.00","$639.00"," Buffalo NY 14208 (42.9174001, -78.852226)"
"06/30/2023","467521","Westchester","Yonkers","10705","Consolidated Edison","Consolidated Edison","06/02/2022","$13,432.00","Natural Gas","1932","2,303","1","Home Performance","Single Family","Building Shell","1,190.00","89.00","$1,701.00"," Yonkers NY 10705 (40.91925, -73.8973)"
"06/30/2023","544238","Essex","Mineville","12956",,"National Grid","02/28/2023","$7,101.00","Oil",,"1176","1","Home Performance","Single Family","Building Shell","1,818.00","32.00","$960.00"," Mineville NY 12956 (44.0792855, -73.5122936)"
"06/30/2023","549571","Suffolk","Riverhead","11901",,"Long Island Power Authority","12/13/2022","$20,435.00","Kerosene",,"Report SF more than 4,000","1","Home Performance","Mobile","Building Shell","-6,727.00","102.00","$1,589.00"," Riverhead NY 11901 (40.919965, -72.66377)"
"06/30/2023","534830","Oneida","Holland Patent","13354",,"National Grid","04/05/2022","$3,495.00","Oil",,"1,080","1","Home Performance","Single Family","Building Shell","0.00","10.00","$208.00"," Holland Patent NY 13354 (43.2437358, -75.2562974)"
"06/30/2023","557484","Orange","New Hampton","10958",,"Orange & Rockland","02/14/2023","$7,973.00","Oil",,"1120","1","Home Performance","Single Family","Building Shell","273.00","77.00","$1,812.00"," New Hampton NY 10958 (41.4092817, -74.4142812)"
"06/30/2023","556838","Queens","Queens","11413",,"Consolidated Edison","01/27/2023","$11,628.00","Natural Gas",,"2288","2","Home Performance","Single Family","Building Shell","566.00","49.00","$886.00"," Queens NY 11413 (40.675365, -73.75155)"
"06/30/2023","528893","Onondaga","Syracuse","13206","National Grid","National Grid","05/17/2022","$7,183.00","Natural Gas",,"988","1","Home Performance","Single Family","Building Shell","343.00","29.00","$362.00"," Syracuse NY 13206 (43.073475, -76.11265)"
"06/30/2023","567750","Onondaga","Clay","13090","National Grid","National Grid","05/30/2023","$6,171.00","Natural Gas",,"1536","1","Home Performance","Single Family","Building Shell","1,081.00","23.00","$385.00"," Clay NY 13090 (43.15685, -76.223565)"
"06/30/2023","555106","Livingston","Nunda","14517","New York State Electric & Gas","New York State Electric & Gas","04/18/2023","$23,090.00","Natural Gas",,"2028","1","Home Performance","Single Family","Building Shell","2,319.00","94.00","$1,210.00"," Nunda NY 14517 (42.579355, -77.94051)"
"06/30/2023","533762","Cattaraugus","Franklinville","14737",,"National Grid","05/24/2022","$9,803.00","Propane",,"1,536","1","Home Performance","Mobile","Building Shell","851.00","62.00","$1,258.00"," Franklinville NY 14737 (42.33914, -78.45721)"
"06/30/2023","509423","Chemung","Elmira","14901","New York State Electric & Gas","New York State Electric & Gas","02/08/2022","$4,043.00","Natural Gas","1902","1,808","1","Home Performance","Single Family","Building Shell","553.00","14.00","$201.00"," Elmira NY 14901 (42.09461, -76.804665)"
"06/30/2023","518745","Otsego","Mount Vision","13810",,"New York State Electric & Gas","06/02/2022","$12,006.00","Pellets",,"1,344","1","Home Performance","Single Family","Building Shell","821.00","92.00","$1,532.00"," Mount Vision NY 13810 (42.6199553, -75.094972)"
"06/30/2023","564373","Saratoga","Corinth","12822",,"National Grid","05/10/2023","$15,662.00","Propane",,"1959","1","Home Performance","Single Family","Building Shell","393.00","58.00","$1,843.00"," Corinth NY 12822 (43.2417323, -73.8343632)"
"06/30/2023","539911","Oneida","New York Mills","13417","National Grid","National Grid","11/22/2022","$1,382.00","Natural Gas",,"2288","2","Home Performance","Single Family","Building Shell","553.00","4.00","$110.00"," New York Mills NY 13417 (43.102895, -75.29077)"
"06/30/2023","544039","Monroe","Rochester","14623","Rochester Gas & Electric","Rochester Gas & Electric","05/15/2023","$8,556.00","Natural Gas",,"1008","1","Home Performance","Single Family","Building Shell","4,228.00","26.00","$647.00"," Rochester NY 14623 (43.0975, -77.618575)"
"06/30/2023","523722","Monroe","East Rochester","14445","Rochester Gas & Electric","Rochester Gas & Electric","04/21/2022","$3,109.00","Natural Gas",,"Report SF less than 800","1","Home Performance","Single Family","Building Shell","0.00","13.00","$112.00"," East Rochester NY 14445 (43.11253, -77.48525)"
"06/30/2023","581809","Chautauqua","Falconer","14733","National Fuel Gas Distribution","Municipal","06/20/2023","$9,663.00","Natural Gas",,"1256","1","Home Performance","Single Family","Building Shell","48.00","55.00","$532.00"," Falconer NY 14733 (42.120305, -79.20028)"
"06/30/2023","478648","Rensselaer","Troy","12182","National Grid","National Grid","01/16/2023","$10,161.00","Natural Gas","1965","1474","1","Home Performance","Single Family","Building Shell","510.00","66.00","$799.00"," Troy NY 12182 (42.771715, -73.67628)"
"06/30/2023","579234","Erie","Buffalo","14215","National Fuel Gas Distribution","National Grid","06/01/2023","$2,974.00","Natural Gas",,"1408","1","Home Performance","Single Family","Building Shell","218.00","10.00","$132.00"," Buffalo NY 14215 (42.93241, -78.80886)"
"06/30/2023","565525","Broome","Binghamton","13901","New York State Electric & Gas","New York State Electric & Gas","06/27/2023","$8,778.00","Natural Gas",,"1747","1","Home Performance","Single Family","Building Shell","318.00","32.00","$354.00"," Binghamton NY 13901 (42.1013048, -75.9083125)"
"06/30/2023","470967","Fulton","Gloversville","12078",,"National Grid","03/17/2022","$7,524.00","Kerosene","2002","1,052","1","Home Performance","Single Family","Building Shell","839.00","19.00","$583.00"," Gloversville NY 12078 (43.0529373, -74.3424296)"
"06/30/2023","564999","Albany","Albany","12211","National Grid","National Grid","04/18/2023","$9,142.00","Natural Gas",,"986","1","Home Performance","Single Family","Building Shell","701.00","32.00","$440.00"," Albany NY 12211 (42.719835, -73.78267)"
"06/30/2023","554467","Rockland","Monsey","10952","Orange & Rockland","Orange & Rockland","11/22/2022","$9,941.00","Natural Gas",,"1920","1","Home Performance","Single Family","Building Shell","1,518.00","25.00","$560.00"," Monsey NY 10952 (41.11271, -74.069045)"
"06/30/2023","553412","Monroe","Rochester","14626","Rochester Gas & Electric","Rochester Gas & Electric","09/27/2022","$9,231.00","Natural Gas",,"1,048","1","Home Performance","Single Family","Building Shell","471.00","15.00","$208.00"," Rochester NY 14626 (43.21119, -77.696605)"
"06/30/2023","530551","Erie","Buffalo","14208","National Fuel Gas Distribution","National Grid","03/08/2022","$7,368.00","Natural Gas",,"2,567","1","Home Performance","Single Family","Building Shell","510.00","35.00","$368.00"," Buffalo NY 14208 (42.9174001, -78.852226)"
"06/30/2023","555574","Cattaraugus","Allegany","14706","New York State Electric & Gas","National Grid","09/13/2022","$5,744.00","Natural Gas",,"1,120","1","Home Performance","Mobile","Building Shell","274.00","19.00","$225.00"," Allegany NY 14706 (42.093498, -78.4904985)"
"06/30/2023","543215","Orange","Middletown","10940","Orange & Rockland","Orange & Rockland","10/04/2022","$7,515.00","Natural Gas",,"1500","1","Home Performance","Single Family","Building Shell","372.00","20.00","$308.00"," Middletown NY 10940 (41.4452505, -74.419957)"
"06/30/2023","564634","Wyoming","Arcade","14009","National Fuel Gas Distribution","Municipal","02/14/2023","$10,034.00","Natural Gas",,"2256","1","Home Performance","Single Family","Building Shell","2,591.00","22.00","$202.00"," Arcade NY 14009 (42.5329786, -78.4190273)"
"06/30/2023","551260","Niagara","North Tonawanda","14120","National Fuel Gas Distribution","National Grid","06/15/2023","$14,972.00","Natural Gas",,"1208","1","Home Performance","Single Family","Building Shell","96.00","63.00","$615.00"," North Tonawanda NY 14120 (43.02966, -78.87383)"
"06/30/2023","505923","Ulster","Mt Marion","12456",,"Central Hudson Gas & Electric","04/21/2022","$5,285.00","Kerosene",,"1,558","1","Home Performance","Single Family","Building Shell","343.00","37.00","$1,154.00"," Mt Marion NY 12456 (42.0378935, -73.9961241)"
"06/30/2023","538043","Broome","Vestal","13850","New York State Electric & Gas","New York State Electric & Gas","04/18/2023","$4,306.00","Natural Gas",,"Report SF less than 800","1","Home Performance","Single Family","Building Shell","0.00","36.00","$351.00"," Vestal NY 13850 (42.089923, -76.0047944)"
"06/30/2023","541792","Onondaga","Cicero","13039","National Grid","National Grid","07/26/2022","$12,216.00","Natural Gas",,"1,086","1","Home Performance","Single Family","Building Shell","410.00","30.00","$378.00"," Cicero NY 13039 (43.176765, -76.08996)"
"06/30/2023","560940","Monroe","Irondequoit","14617","Rochester Gas & Electric","Rochester Gas & Electric","04/13/2023","$3,053.00","Natural Gas",,"1428","1","Home Performance","Single Family","Building Shell","1,539.00","9.00","$233.00"," Irondequoit NY 14617 (43.20713, -77.600505)"
"06/30/2023","531611","Oneida","Blossvale","13308",,"National Grid","03/29/2022","$11,043.00","Kerosene",,"1,680","1","Home Performance","Mobile","Building Shell","550.00","46.00","$1,072.00"," Blossvale NY 13308 (43.2108091, -75.7224284)"
"06/30/2023","565641","St. Lawrence","Ogdensburg","13669",,"Municipal","01/17/2023","$5,988.00","Oil",,"1645","1","Home Performance","Single Family","Building Shell","377.00","40.00","$1,256.00"," Ogdensburg NY 13669 (44.69457, -75.48625)"
"06/30/2023","547191","Suffolk","Calverton","11933",,"Long Island Power Authority","12/15/2022","$13,492.00","Kerosene",,"900","1","Home Performance","Mobile","Building Shell","-4,467.00","81.00","$1,086.00"," Calverton NY 11933 (40.9630311, -72.7563979)"
