"Reporting Period","Project ID","Project County","Project City","Project ZIP","Gas Utility","Electric Utility","Project Completion Date","Total Project Cost","Pre-Retrofit Home Heating Fuel Type","Year Home Built","Size Of Home","Number Of Units","Job Type","Type Of Dwelling","Measure Type","Estimated Annual kWh Savings","Estimated Annual MMBtu Savings","First Year Modeled Project Energy Savings $ Estimate","Location 1"
"06/30/2023","355038","New York","New York","10002","Consolidated Edison","Consolidated Edison","05/29/2018","$684.00","Natural Gas","1901","Report SF less than 800","1","Electric Reduction","Single Family","Building Shell","510.00","0.00","$97.00"," New York NY 10002 (40.716475, -73.98845)"
"06/30/2023","369715","Monroe","Rochester","14612","Rochester Gas & Electric","Rochester Gas & Electric","05/21/2019","$3,632.00","Natural Gas","1986","1,914","1","Home Performance","Single Family","Building Shell","923.00","23.00","$282.00"," Rochester NY 14612 (43.25403, -77.613775)"
"06/30/2023","361085","Ulster","Napanoch","12458",,"Central Hudson Gas & Electric","02/15/2019","$3,742.00","Oil","1921","975","1","Home Performance","Single Family","Building Shell","0.00","10.00","$197.00"," Napanoch NY 12458 (41.7470812, -74.3725544)"
"06/30/2023","351284","Monroe","Henrietta","14467","Rochester Gas & Electric","Rochester Gas & Electric","04/20/2018","$352.00","Natural Gas",,"1,100","1","Home Performance","Single Family","Building Shell","301.00","0.00","$36.00"," Henrietta NY 14467 (43.058193, -77.6179535)"
"06/30/2023","381268","Chautauqua","Forestville","14062",,"New York State Electric & Gas","03/07/2019","$5,220.00","Propane","2019","1,782","1","Home Performance","Mobile","Building Shell","510.00","24.00","$535.00"," Forestville NY 14062 (42.470185, -79.173575)"
"06/30/2023","395718","Erie","Buffalo","14215","National Fuel Gas Distribution","National Grid","05/06/2019","$3,711.00","Natural Gas",,"1,743","2","Home Performance","Single Family","Building Shell","443.00","36.00","$312.00"," Buffalo NY 14215 (42.93241, -78.80886)"
"06/30/2023","359274","Erie","Clarence","14031","National Fuel Gas Distribution","National Grid","08/16/2018","$8,407.00","Natural Gas",,"2,110","1","Home Performance","Single Family","Building Shell","510.00","67.00","$725.00"," Clarence NY 14031 (42.975015, -78.622815)"
"06/30/2023","347390","Oneida","Barneveld","13304",,"National Grid","05/18/2018","$3,245.00","Propane","1846","2,344","1","Home Performance","Single Family","Building Shell","343.00","11.00","$283.00"," Barneveld NY 13304 (43.2555195, -75.185)"
"06/30/2023","355093","Kings","Brooklyn","11234","National Grid","Consolidated Edison","08/02/2018","$3,704.00","Natural Gas","1938","2,174","1","Home Performance","Single Family","Building Shell","848.00","18.00","$390.00"," Brooklyn NY 11234 (40.61463, -73.923985)"
"06/30/2023","392139","Oneida","Whitesboro","13492","National Grid","National Grid","03/18/2019","$2,619.00","Natural Gas","1963","1,944","1","Home Performance","Single Family","Building Shell","0.00","17.00","$152.00"," Whitesboro NY 13492 (43.120445, -75.29465)"
"06/30/2023","365115","Monroe","Rochester","14609","Rochester Gas & Electric","Rochester Gas & Electric","09/05/2018","$1,448.00","Natural Gas",,"1,350","1","Home Performance","Single Family","Building Shell","510.00","7.00","$125.00"," Rochester NY 14609 (43.165865, -77.56504)"
"06/30/2023","345438","Monroe","Brockport","14420","National Grid","Rochester Gas & Electric","05/08/2018","$6,271.00","Natural Gas","1968","1,398","1","Home Performance","Single Family","Building Shell","510.00","73.00","$779.00"," Brockport NY 14420 (43.214665, -77.940015)"
"06/30/2023","355834","Bronx","Bronx","10458","National Grid","Consolidated Edison","05/04/2018","$571.00","Natural Gas",,"871","1","Electric Reduction","Single Family","Building Shell","443.00","1.00","$97.00"," Bronx NY 10458 (40.860615, -73.889285)"
"06/30/2023","320970","Broome","Endicott","13760","New York State Electric & Gas","New York State Electric & Gas","02/08/2018","$4,482.00","Natural Gas","1961","1,188","1","Home Performance","Single Family","Building Shell","0.00","27.00","$288.00"," Endicott NY 13760 (42.110115, -76.032545)"
"06/30/2023","367397","Nassau","Franklin Square","11010",,"Long Island Power Authority","12/14/2018","$4,109.00","Oil","1953","1,749","1","Home Performance","Single Family","Building Shell","0.00","17.00","$399.00"," Franklin Square NY 11010 (40.7087917, -73.6755374)"
"06/30/2023","351242","Ontario","Honeoye","14471","National Fuel Gas Distribution","National Grid","07/13/2018","$3,271.00","Natural Gas",,"1,276","1","Home Performance","Single Family","Building Shell","410.00","17.00","$218.00"," Honeoye NY 14471 (42.7827195, -77.4990877)"
"06/30/2023","362311","Erie","Buffalo","14211","National Fuel Gas Distribution","National Grid","08/09/2018","$4,332.00","Natural Gas","1961","1,635","1","Home Performance","Single Family","Building Shell","208.00","36.00","$379.00"," Buffalo NY 14211 (42.90832, -78.83677)"
"06/30/2023","387841","Kings","Brooklyn","11210","National Grid","Consolidated Edison","02/15/2019","$8,448.00","Natural Gas",,"1,416","1","Home Performance","Single Family","Building Shell","510.00","54.00","$827.00"," Brooklyn NY 11210 (40.626385, -73.942945)"
"06/30/2023","350509","Jefferson","Watertown","13601",,"National Grid","10/11/2018","$3,070.00","Oil","1881","1,254","1","Home Performance","Single Family","Building Shell","510.00","29.00","$558.00"," Watertown NY 13601 (43.9757948, -75.9049969)"
"06/30/2023","414762","Onondaga","Syracuse","13207","National Grid","National Grid","07/11/2019","$9,624.00","Natural Gas","1921","1,360","1","Home Performance","Single Family","Building Shell","705.00","86.00","$785.00"," Syracuse NY 13207 (43.0200289, -76.1626311)"
"06/30/2023","336031","Monroe","Rochester","14608","Rochester Gas & Electric","Rochester Gas & Electric","01/12/2018","$3,605.00","Natural Gas",,"1,664","1","Home Performance","Single Family","Building Shell","443.00","19.00","$232.00"," Rochester NY 14608 (43.16379, -77.62659)"
"06/30/2023","409114","Erie","Buffalo","14210","National Fuel Gas Distribution","National Grid","06/13/2019","$2,744.00","Natural Gas","1912","1,058","1","Electric Reduction","Single Family","Building Shell","0.00","26.00","$190.00"," Buffalo NY 14210 (42.87441, -78.848955)"
"06/30/2023","365759","Erie","Snyder","14226","National Fuel Gas Distribution","National Grid","09/24/2018","$5,678.00","Natural Gas",,"1,308","1","Home Performance","Single Family","Building Shell","0.00","47.00","$450.00"," Snyder NY 14226 (42.977785, -78.816145)"
